gene,pvalue,padj,logFC
LOC101887541,0.41863602,0.99569125,-2.26E-06
LOC101888919,0.566074515,0.99569125,-4.86E-07
LOC101889100,0.47092639,0.99569125,-4.90E-07
LOC101889277,0.934997476,0.999855404,-4.10E-08
LOC101889784,0.963425996,0.999855404,-6.19E-07
LOC101890400,0.670937259,0.99569125,-8.17E-05
LOC101890227,0.170640227,0.99569125,-2.97E-06
LOC101890913,0.396481303,0.99569125,-2.71E-06
LOC101891089,0.422467475,0.99569125,2.96E-06
LOC105262546,0.532783806,0.99569125,6.33E-07
LOC101891260,0.802267004,0.99569125,-2.39E-06
LOC101891434,0.52073784,0.99569125,-1.18E-06
LOC101891614,0.731826325,0.99569125,3.35E-07
LOC101891784,0.877168516,0.997757351,-1.43E-07
LOC101891957,0.007002295,0.883251774,7.24E-06
LOC101892131,0.17436933,0.99569125,1.96E-06
LOC105262551,0.060368015,0.99569125,-1.37E-06
LOC101892301,0.68526882,0.99569125,-1.14E-06
LOC109614461,0.602849857,0.99569125,2.22E-06
LOC101892470,0.415396293,0.99569125,-9.31E-07
LOC101892645,0.904827159,0.99850759,-2.13E-07
LOC101892822,0.663962599,0.99569125,-7.66E-07
LOC101892993,0.344862238,0.99569125,-5.89E-07
LOC101894303,0.805065805,0.99569125,-5.83E-07
LOC101894468,0.195267975,0.99569125,-9.76E-07
LOC101894633,0.444019259,0.99569125,-3.33E-07
LOC101894789,0.296751116,0.99569125,-1.91E-06
LOC101895287,0.652852349,0.99569125,1.48E-06
LOC101895810,0.544465743,0.99569125,-7.91E-07
LOC101895985,0.599713384,0.99569125,1.77E-06
LOC109614485,0.527853748,0.99569125,5.43E-06
LOC109614484,0.658151788,0.99569125,-1.77E-06
LOC101896316,0.576677342,0.99569125,2.63E-07
LOC101896673,0.229066298,0.99569125,4.10E-06
LOC105262566,0.820605224,0.99569125,-6.30E-07
LOC101897025,0.737264088,0.99569125,3.15E-06
LOC109614502,0.276322919,0.99569125,-1.40E-06
LOC101897201,0.685022572,0.99569125,1.17E-06
LOC101897545,0.639180755,0.99569125,-2.71E-06
LOC101897382,0.605171131,0.99569125,-1.18E-06
LOC101897837,0.234117461,0.99569125,-3.99E-06
LOC109614505,0.474578811,0.99569125,-8.10E-07
LOC101898459,0.741262654,0.99569125,1.18E-06
LOC101898982,0.487219591,0.99569125,-3.26E-06
LOC101899156,0.931745317,0.999855404,4.52E-08
LOC101899332,0.974690669,0.999973094,-3.94E-08
