,gene_names,Control_Gut_1,Control_Gut_2,Control_Gut_3,Control_Gut_4,Pseudomonas_Gut_1,Pseudomonas_Gut_2,Pseudomonas_Gut_3,Pseudomonas_Gut_4,Control_Carcass_1,Control_Carcass_2,Control_Carcass_3,Control_Carcass_4,Pseudomonas_Carcass_1,Pseudomonas_Carcass_2,Pseudomonas_Carcass_3,Pseudomonas_Carcass_4
3133,LOC101900417,4,4,6,4,3,6,4,4,2,3,3,1,3,2,2,4
3134,LOC101900595,5,4,7,10,6,4,6,6,6,5,6,8,7,4,5,8
3135,LOC101891443,0,0,1,1,1,1,0,1,1,0,1,1,1,1,2,1
3136,LOC101900778,20,30,36,27,18,24,32,27,51,41,39,52,48,47,55,56
3137,LOC101900954,570,573,753,651,465,587,635,628,755,606,570,598,682,455,599,697
3138,LOC101891624,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
3139,LOC101891793,1,4,7,5,1,3,4,2,4,2,1,1,3,1,1,6
3140,LOC101901237,26,23,36,33,26,26,33,24,37,28,35,34,40,23,34,27
3141,LOC101891967,2,4,4,4,2,3,3,3,3,2,3,3,5,1,3,4
3142,LOC101887215,16,27,34,29,15,21,26,20,40,32,31,33,39,29,32,43
3143,LOC101887387,4,7,8,7,4,6,7,6,8,6,6,6,9,4,6,10
3144,LOC101887558,6,5,6,8,4,7,7,6,10,7,6,10,8,8,11,10
3145,LOC101887727,2,6,8,7,1,4,6,4,7,3,3,4,6,2,3,11
3146,LOC101887890,0,1,2,2,0,1,1,1,1,1,1,1,1,1,1,2
3147,LOC101892140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3148,LOC101892308,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
3149,LOC101889226,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3150,LOC101892478,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
3151,LOC101888753,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3152,LOC101889048,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3153,LOC101892657,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0
3154,LOC101888577,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3155,LOC105261500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3156,LOC105261501,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3157,LOC101888410,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3158,LOC105261502,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3159,LOC101888240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3160,LOC101892833,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3161,LOC101893967,2,3,8,5,2,3,5,3,6,4,6,6,6,4,6,7
3162,LOC101893003,176,135,95,68,162,49,82,96,72,78,73,123,75,103,92,44
3163,LOC101893183,0,0,0,0,0,0,0,0,3,5,4,5,3,2,4,2
3164,LOC101893343,125,209,173,194,113,215,186,148,198,199,149,166,187,126,181,139
3165,LOC101893630,4,7,11,6,6,5,7,6,8,9,8,8,11,8,11,10
3166,LOC105261505,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0
3167,LOC101894142,11,33,40,23,13,27,29,16,29,29,25,18,36,21,14,56
3168,LOC101894533,1,1,2,1,1,1,1,1,1,1,2,2,2,1,1,1
3169,LOC101894692,20,55,79,57,15,42,61,33,68,26,27,25,41,19,27,94
3170,LOC101894851,39,30,36,41,29,40,31,45,23,16,20,20,22,20,19,25
3171,LOC101895017,10,26,21,17,11,11,17,10,38,40,37,35,49,28,30,36
3172,LOC101895184,102,97,112,104,128,99,99,99,72,80,81,80,103,72,93,74
3173,LOC101895356,296,130,181,193,256,340,260,336,460,455,520,610,422,533,644,422
3174,LOC101896111,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0
3175,LOC101895767,11,7,10,9,5,12,9,10,28,32,32,32,23,24,30,21
3176,LOC101901069,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,0
3177,LOC101896272,15,16,20,20,14,15,16,13,52,43,59,82,63,55,73,49
3178,LOC101901238,4,9,10,10,4,7,10,5,10,4,5,6,11,4,5,12
3179,LOC101896561,66,163,208,150,55,114,153,78,165,98,88,74,131,64,92,219
3180,LOC101896742,457,415,449,413,399,423,402,417,1893,1444,1430,2103,1664,2236,1968,1451
3181,LOC101901401,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3182,LOC101901565,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
3183,LOC101901735,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3184,LOC101887268,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0
3185,LOC101887436,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3186,LOC101887613,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3187,LOC101887777,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
3188,LOC101897088,4,7,10,8,3,5,8,4,8,7,8,7,11,6,8,8
3189,LOC101896914,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3190,LOC101897272,26,27,26,24,25,24,24,22,37,33,32,41,39,27,32,33
3191,LOC101897446,7,11,9,8,6,6,9,8,12,9,8,8,10,6,8,11
3192,LOC101897614,5,22,19,16,4,11,17,7,17,9,7,8,16,4,6,21
3193,LOC101897954,4,16,18,13,5,11,14,8,19,9,8,10,19,6,12,21
3194,LOC105261506,5,4,5,5,5,3,5,4,9,4,4,7,7,5,3,7
3195,LOC101898121,32,35,45,41,29,32,38,39,39,33,31,30,33,22,28,46
3196,LOC101887941,0,2,3,2,0,1,2,0,2,0,0,0,1,0,0,2
3197,LOC101898768,349,234,279,315,371,371,294,386,123,113,138,128,135,127,144,136
3198,LOC101898936,1651,2763,2914,2644,1958,2089,2572,1967,2216,2005,1829,1653,2274,1407,1513,2939
3199,LOC101899111,5,15,16,14,3,9,14,11,12,8,7,10,15,8,8,26
3200,LOC101899283,16,16,20,13,15,17,14,17,43,38,51,57,48,46,50,41
3201,LOC101899671,8,13,13,12,8,9,11,8,14,15,13,14,19,10,12,17
3202,LOC101888112,10,23,21,17,9,13,17,13,22,11,12,13,19,10,13,34
3203,LOC101899846,191,217,200,190,171,186,184,184,727,941,824,987,750,953,964,748
3204,LOC101900013,30,42,39,39,30,32,40,32,39,42,43,40,40,29,40,48
3205,LOC101900187,33,36,50,38,33,38,36,34,65,69,78,79,87,60,82,60
3206,LOC101888290,3,8,10,9,3,6,9,4,8,4,3,4,7,3,3,10
3207,LOC101888463,2,6,5,5,2,4,8,3,4,2,3,2,4,1,1,3
3208,LOC101900474,4,6,8,8,3,7,8,3,8,3,3,5,6,3,4,8
3209,LOC101900649,32,27,28,30,29,28,22,26,48,50,50,62,53,41,54,33
3210,LOC101888632,0,1,0,1,0,1,1,1,0,0,0,0,1,0,0,0
3211,LOC101890642,7,10,9,7,7,8,8,6,13,29,29,23,19,19,20,9
3212,LOC101890817,11,14,14,11,7,10,9,10,33,34,34,41,37,39,40,28
3213,LOC101893407,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
