"","gene","pvalue","padj","logFC"
"1","LOC101887261",0.624054545836563,0.869824038796461,0.0850204817315404
"2","LOC101887540",0.14203261670556,0.536394090044315,1.17931165011646
"3","LOC101887709",0.357164180032651,0.734663189921605,0.643984401275986
"4","LOC101887872",0.347369386280744,NA,0.800154623323113
"5","LOC101888043",0.691445764763124,NA,0.297413953955333
"6","LOC105261620",0.013686282877966,0.174569934667934,0.650417478391169
"7","LOC101888225",0.0114702594555588,0.162402540835177,0.781675620054673
"8","LOC105261775",0.0159014801794772,0.187054142186442,1.57518774329331
"9","LOC101888392",0.0782729788099861,0.40651936672427,0.402357186975034
"10","LOC101888800",0.0364894813306575,0.277322662892332,0.435171589535267
"11","LOC101889098",0.465600966737352,0.792020699381667,0.133558224590019
"12","LOC101889449",0.789178732392423,0.930058492435723,0.0498916275174507
"13","LOC101889275",0.290903367162705,0.685595639364696,-0.403337941736638
"14","LOC101889730",0.668070301773536,0.885529146166679,0.107299111152866
"15","LOC101889900",0.250818023979468,0.658710139228338,-0.244657438995934
"16","LOC101893671",0.237455736624201,NA,-0.818775795268801
"17","LOC101893836",0.136569961261491,NA,-0.471017891491043
"18","LOC101894009",0.912436469570218,0.974761710995601,0.0249699738072697
"19","LOC101890067",0.862356718656701,0.957885658154804,0.0552166498800873
"20","LOC101894185",0.119732459103,0.493713014680139,0.349142917092136
"21","LOC101890226",0.013867803344903,0.174594646428635,-0.890434069338204
"22","LOC101890517",0.900037869820863,0.97180148736656,-0.0343592513486854
"23","LOC101890689",0.0352397663317257,0.273843654886856,-0.511881204825399
"24","LOC101890862",0.00255537732499613,0.0750320523279066,-1.09727917265724
"25","LOC101891383",0.685812309694623,0.88997242627035,-0.104921247469676
"26","LOC101891561",0.9531542635487,0.987865648928116,-0.016289341009989
"27","LOC101892023",0.191218868587544,0.599673504520444,-0.309085101091661
"28","LOC101891733",0.907981597745351,0.97327440650151,-0.0359978003684998
"29","LOCNULL",0.726215469919592,0.906991915757412,0.0493816348456102
"30","LOC101892196",0.112506958183217,0.482512618442277,-0.427900895601457
"31","LOC101892705",0.543463441809906,0.829606614765644,0.119235394867882
"32","LOC101894838",0.362586983419766,NA,1.43828259588756
"33","LOC101895692",0.614716532556326,NA,0.848534366435042
"34","LOC101893170",0.486885700125852,0.801900443166209,0.142140666557051
"35","LOC101892991",0.93129075786511,0.980011320663826,0.0151787436148666
"36","LOC101896906",0.962529076183093,0.990664956207904,-0.01025978952845
"37","LOC101897077",0.556053679009139,0.8372954327553,-0.199037476798684
"38","LOC101897256",0.72936003304084,0.90872920621402,0.0620364164413912
"39","LOC101897663",0.0496558187493941,0.328163454725981,0.431596380079112
"40","LOC101897944",0.0207584687191697,0.210471148659021,0.529720447477876
"41","LOC101893618",NA,NA,-1.22918066599981
"42","LOC101898111",0.481305758278448,0.80015117601305,0.153940429722282
"43","LOC101898806",0.290269411390418,0.685595639364696,-0.282399314690373
"44","LOC101898981",0.576891175370397,0.848078932451183,-0.0995832460354218
"45","LOC101899611",0.249182087759627,0.656137005084783,0.251396496294598
"46","LOC101899776",0.991595962367836,0.998284185469946,0.00260443422050493
"47","LOC101899949",0.190162477141491,0.598813941059424,-0.266403355330672
"48","LOC101900121",0.38485360661075,0.747330017275646,0.252436405208456
"49","LOC101900293",0.810341459030012,0.939019488410355,0.0502152908751886
"50","LOC101893785",0.296266122728598,NA,-0.601099763428729
"51","LOC101893958",0.363157356126515,NA,0.293079509578203
"52","LOC101900457",0.980460596283917,0.994340772288274,0.00636049218631326
"53","LOC105261793",0.150694812127955,0.548100939480156,-0.643945142930076
"54","LOC101894131",0.973502727247147,0.992200346718734,0.0135024924502255
"55","LOC101900764",0.135123008317236,0.522020866230295,-0.268488639748731
"56","LOC101900941",0.0458838214192334,0.313392915248401,0.444325349335027
"57","LOC101894302",0.24589536760528,NA,1.39297114726073
"58","LOC101894467",0.537595338298635,0.827293056608727,0.105538886539013
"59","LOC101901120",0.0540230348140578,0.343234668830289,-0.9411900356647
"60","LOC101901286",0.0605245200846441,0.367288443095484,0.404922411738199
"61","LOC101901446",0.921100417403297,0.976523739972565,-0.0185552672887359
"62","LOC101901726",0.95008551583954,0.986755077870328,0.0113995243838028
"63","LOC101887262",0.609010292038245,0.864603712761597,0.0956153920600491
"64","LOC101894788",0.677145402428981,0.888442385852989,-0.106046943712815
"65","LOC101894955",0.159807376720683,0.558344350161783,-0.543058834546954
"66","LOC101887825",0.982031233026319,0.995109819221806,-0.00592749909546641
"67","LOC101887655",0.142932877800007,0.536995569235751,0.490187360620445
"68","LOC101895115",0.651390010549461,0.878763890272554,-0.0807798627764194
"69","LOC101888226",0.874716729915408,0.962704954413233,0.0423242474847125
"70","LOC101895809",0.172774640726957,0.575156975932097,-0.371453385666094
"71","LOC101888393",0.394788544423209,0.752920611094829,-0.18405352293662
"72","LOC101888560",0.645706035855991,0.877045609087227,-0.0726644035835187
"73","LOC101895984",0.221054039486351,0.630861984835476,-0.439632425291952
"74","LOC101888739",0.0635602197558948,0.373014435721867,0.53249406134519
"75","LOC101889276",0.815961556609324,0.940924933336852,0.029917833479868
"76","LOC101889099",0.992587376719947,0.998485756740399,-0.00179464773951618
"77","LOC101888918",0.641381293454825,NA,0.251591953635876
"78","LOC101889450",0.674048816850274,0.887573561502566,-0.127074685177005
"79","LOC101889731",0.526548272959962,0.823002638513089,0.131843414708807
"80","LOC101890121",0.854291225799041,0.953602215874323,0.0639458115599187
"81","LOC101896144",0.671918048496775,0.886668679903184,0.0883513419092859
"82","LOC109613535",0.820479650760914,NA,-0.229442226163116
"83","LOC101896492",0.509479820519735,NA,0.657108758427048
"84","LOC101896672",0.114050118132696,NA,-1.66398252793268
"85","LOC101890738",0.687602123763966,0.88997242627035,-0.0653978945433322
"86","LOC101890912",0.651714192412707,0.878952480586252,-0.11429543261435
