,gene_names,Ecoli_Gut_1,Ecoli_Gut_2,Ecoli_Gut_3,Control_Gut_1,Control_Gut_2,Control_Gut_3,Ecoli_Carcass_1,Ecoli_Carcass_2,Ecoli_Carcass_3,Control_Carcass_1,Control_Carcass_2,Control_Carcass_3
465,LOC101890010,1,0,1,1,1,1,1,0,1,1,1,1
466,LOC101890172,4,2,5,3,4,5,4,4,3,4,5,3
467,LOC101890349,1,1,1,1,1,1,0,0,1,1,1,1
468,LOC101890518,1,0,1,1,1,1,2,2,2,2,2,2
469,LOC101890690,0,0,0,0,0,0,1,0,0,0,2,0
470,LOC101890864,0,0,0,0,0,0,5,5,7,7,7,7
471,LOC101891209,0,0,0,0,0,0,0,0,0,0,1,0
472,LOC101891615,22,17,20,22,22,22,35,31,26,40,36,38
473,LOC101891905,196,127,52,173,260,180,992,721,186,972,1223,884
474,LOC101892079,0,0,0,0,0,0,1,0,0,0,1,0
475,LOC109612035,0,0,0,0,0,0,0,0,0,0,0,0
476,LOC101892425,0,0,0,0,0,0,0,0,0,0,0,0
477,LOC101892594,10,7,10,8,10,10,18,16,18,18,21,24
478,LOC105261609,0,0,0,0,0,0,1,0,0,0,0,0
479,LOC101892766,1,0,0,1,1,1,7,5,7,5,9,6
480,LOC101892939,0,0,0,0,0,0,0,1,0,0,0,0
481,LOC101893117,6,4,5,7,9,7,18,17,18,17,14,23
482,LOC105261613,3,2,4,5,2,0,472,369,330,250,342,330
483,LOC105261616,0,0,0,0,0,0,2,1,0,1,0,0
484,LOC101893459,1,1,1,3,4,1,98,80,108,92,92,92
485,LOC101893620,2,1,1,2,1,1,3,2,2,4,2,3
486,LOC101894470,0,0,0,0,0,0,0,0,0,0,0,0
487,LOC101894635,0,0,0,0,0,0,0,0,0,0,0,0
488,LOC101894305,0,0,0,0,0,0,0,0,0,0,0,0
489,LOC105261622,0,0,0,0,0,0,0,0,0,0,0,0
490,LOC101893787,0,0,0,0,0,0,0,0,0,0,0,0
491,LOC101894791,0,0,0,0,0,0,0,0,0,0,0,0
492,LOC101893960,0,0,0,0,0,0,0,0,0,0,0,0
493,LOC101894133,0,0,0,0,0,0,0,0,0,0,0,0
494,LOC101894958,0,0,0,0,0,0,0,0,0,0,0,0
495,LOC101895117,2,0,1,1,1,1,4,3,5,6,6,5
496,LOC101895458,7,5,6,5,5,5,7,8,7,6,5,8
497,LOC101895289,37,35,33,32,36,36,44,41,37,41,42,47
498,LOC101895638,569,631,589,527,683,618,3180,3086,2552,3209,2892,3178
499,LOC101895811,0,0,0,0,0,0,0,1,0,1,1,1
500,LOC101895986,0,0,0,0,0,0,0,0,0,0,0,0
501,LOC101896146,11,10,11,9,9,9,10,12,8,12,10,9
502,LOC101896318,1,1,1,1,2,0,2,2,3,4,3,2
503,LOC101896495,330,210,271,146,238,262,0,0,0,0,0,0
504,LOC101896676,39,28,38,57,47,21,4260,3198,3806,3255,3656,3647
505,LOC101896856,50,49,49,46,55,49,64,55,52,63,64,63
506,LOC109611610,4,3,3,5,4,3,5,5,4,5,5,5
507,LOC101897028,13,5,11,14,10,8,13,12,10,16,14,13
508,LOC101897204,43,34,39,32,41,37,68,57,54,57,59,68
509,LOC101898407,4,10,6,10,10,4,18,24,28,20,33,29
510,LOC101898234,25,20,21,22,26,20,38,35,31,34,41,45
511,LOC101897720,4,3,4,6,4,4,5,4,4,5,5,5
512,LOC105261633,3,1,2,2,2,2,4,3,3,4,6,6
513,LOC101898581,0,0,0,0,0,0,1,1,1,1,1,1
514,LOC101898751,0,0,0,0,0,0,0,0,0,0,0,0
515,LOC101898920,5,4,4,4,3,2,3,1,2,3,1,2
516,LOC105261635,0,0,0,0,0,0,1,0,0,1,1,0
517,LOC101899213,0,0,0,0,0,0,1,1,0,1,0,1
518,LOC101899393,1,0,1,0,1,0,1,1,1,1,1,2
519,LOC105261638,0,0,0,0,0,0,0,0,0,0,0,0
520,LOC101899565,0,0,0,0,67,0,267,108,141,109,144,143
521,LOC101899727,4,6,4,10,5,3,3,4,4,8,4,4
522,LOC101899898,0,0,0,0,0,0,0,0,0,0,0,0
523,LOC105261642,0,0,0,0,0,0,0,0,0,0,0,0
524,LOC101900064,0,0,0,0,0,0,2,0,0,0,2,0
525,LOC101900239,26,37,21,37,26,23,85,91,57,72,91,75
526,LOC101900410,14,10,14,16,15,16,14,15,14,21,16,19
527,LOC101900587,0,0,0,0,0,0,0,0,0,0,0,0
528,LOC109612099,0,0,0,0,0,0,0,0,0,0,0,0
529,LOC101900766,0,0,0,0,0,0,0,0,0,0,0,0
530,LOC101900943,0,0,7,9,0,5,0,0,0,0,0,0
531,LOC101901122,0,0,0,0,0,0,1,1,1,1,1,1
532,LOC101901288,5,4,7,7,5,6,7,5,7,8,6,8
533,LOC101901448,87,82,91,63,79,80,11,11,11,14,13,12
534,LOC101901612,1,1,0,1,0,1,0,0,1,1,0,0
535,LOC101901779,60,60,56,50,55,59,21,19,20,22,21,21
536,LOC101887314,2,1,1,2,1,1,1,1,1,1,1,1
537,LOC101887827,1,1,0,1,1,0,1,1,1,1,1,1
538,LOC101887991,2,1,1,3,2,2,4,3,5,4,5,3
539,LOC101888164,0,0,0,0,0,0,0,0,0,0,0,0
540,LOC101888510,13,6,8,14,11,9,8,9,4,8,11,12
541,LOC101888335,15,12,13,18,14,16,9,8,8,14,12,9
542,LOC101889335,0,0,0,0,0,0,5,4,3,4,4,5
543,LOC101889509,0,0,0,0,0,0,0,0,0,0,0,0
544,LOC101889667,0,0,0,0,0,0,0,0,0,0,1,0
545,LOC109612121,0,0,0,0,0,0,0,0,0,0,0,0
546,LOC101888685,5,4,5,4,6,5,9,9,7,9,10,10
547,LOC101889841,2,2,2,2,2,2,3,3,2,4,2,4
548,LOC101888863,56,61,56,51,56,53,1,0,1,1,1,1
549,LOC101890011,4,3,4,3,3,3,5,5,4,7,4,5
550,LOC101890173,0,0,0,0,0,0,1,1,2,1,1,1
551,LOC101889038,14,7,9,17,12,13,11,9,10,10,12,11
