,high constitutive AMPs,, other AMPs,,
NF-1/L[T00599],2,3,25,15,0.797647478
PEA3[T00685],2,3,25,15,0.797647478
RelA[T00594],3,2,32,8,0.775686275
STAT5A[T04683],3,2,32,8,0.775686275
SRF[T00766],3,2,16,24,0.72543939
HNF-6[T03296],2,3,24,16,0.72543939
Zeste[T00918],4,1,23,17,0.72320038
Zeste[T02100],4,1,23,17,0.72320038
USF-1[T00877],1,4,17,23,0.72320038
NF-E4[T00560],1,4,17,23,0.72320038
RXR-beta[T01349],4,1,23,17,0.72320038
p53[T00671],5,0,30,10,0.703747628
INSAF[T00406],0,5,10,30,0.703747628
CREMalpha[T01803],2,3,9,31,0.69415107
COE1[T01112],4,1,38,2,0.680362727
core-bindingfactor[T01530],1,4,2,38,0.680362727
CRE-BP2[T01017],1,4,2,38,0.680362727
CREBbeta[T02361],1,4,2,38,0.680362727
Ik-1[T02702],1,4,2,38,0.680362727
Sp1[T00753],1,4,2,38,0.680362727
Sp1[T00752],1,4,2,38,0.680362727
Nrf2[T01443],2,3,23,17,0.668008772
FOXF1[T02461],1,4,16,24,0.656349925
PEBP2[T00683],1,4,16,24,0.656349925
SF-1[T02769],1,4,16,24,0.656349925
PRB[T00697],3,2,30,10,0.63443915
RelA[T00595],3,2,30,10,0.63443915
PXR-1:RXR-alpha[T05671],3,2,18,22,0.622368421
CAC-bindingprotein[T00076],3,2,18,22,0.622368421
RFX1[T01673],3,2,18,22,0.622368421
HMGI(Y)[T02368],5,0,31,9,0.606004902
Egr-3[T00243],0,5,9,31,0.606004902
Egr-3[T05889],0,5,9,31,0.606004902
Pax-5[T01201],5,0,31,9,0.606004902
TFE3-S[T00814],0,5,9,31,0.606004902
FXR:RXR-alpha[T05318],0,5,9,31,0.606004902
E2F-4[T01546],0,5,9,31,0.606004902
JunD[T01978],0,5,9,31,0.606004902
RXR-beta[T01332],0,5,9,31,0.606004902
POU1F1[T00707],4,1,25,15,0.601182582
SXR:RXR-alpha[T05670],4,1,25,15,0.601182582
CTF[T00174],1,4,15,25,0.601182582
AP-4[T00036],1,4,15,25,0.601182582
AP-3(2)[T00039],3,2,29,11,0.590516439
TCF-2[T01110],3,2,29,11,0.590516439
PTF1-beta[T00701],2,3,21,19,0.586363636
Adf-1[T00008],2,3,21,19,0.586363636
CBF(2)[T00084],3,2,19,21,0.586363636
T3R-alpha[T01351],2,3,21,19,0.586363636
HNF-4alpha2[T02422],3,2,19,21,0.586363636
HNF-4alpha1[T02429],3,2,19,21,0.586363636
XPF-1[T00906],2,3,21,19,0.586363636
TCF-1(P)[T01109],3,2,28,12,0.558518011
c-Myb[T00138],3,2,28,12,0.558518011
PU.1[T00702],2,3,12,28,0.558518011
TCF-4[T02918],2,3,20,20,0.558441558
HNF-3beta[T03256],3,2,20,20,0.558441558
IPF1[T04362],1,4,14,26,0.555759898
NF-AT4[T01946],4,1,26,14,0.555759898
RAR-alpha1[T00719],4,1,26,14,0.555759898
RAR-beta[T00721],4,1,26,14,0.555759898
T3R-beta1[T00853],4,1,26,14,0.555759898
ARP-1[T00045],4,1,26,14,0.555759898
ER-alpha[T00261],4,1,26,14,0.555759898
NF-1(-likeproteins)[T00601],2,3,19,21,0.5375
LEF-1[T00930],2,3,19,21,0.5375
GCM[T02302],3,2,27,13,0.53591133
GCMa[T02306],3,2,27,13,0.53591133
GCMa[T02307],3,2,27,13,0.53591133
GCMb[T02308],3,2,27,13,0.53591133
HNF-6beta[T03258],3,2,27,13,0.53591133
NF-1[T00535],3,2,27,13,0.53591133
USF2[T00878],0,5,8,32,0.524112348
E47[T05421],0,5,8,32,0.524112348
Fli-1[T01408],0,5,8,32,0.524112348
AP-3[T01150],5,0,32,8,0.524112348
Antp[T00026],5,0,32,8,0.524112348
AP-1[T00031],2,3,18,22,0.522789474
GATA-2[T00308],3,2,26,14,0.521024904
Elk-1[T05013],2,3,14,26,0.521024904
c-Ets-1[T00111],2,3,14,26,0.521024904
E2F-1[T01543],2,3,14,26,0.521024904
OC-2[T03259],3,2,26,14,0.521024904
Bcd[T00063],2,3,14,26,0.521024904
MEF-2DAB[T02505],4,1,27,13,0.518623868
E2F-1[T01542],4,1,27,13,0.518623868
IRF-2[T01491],1,4,13,27,0.518623868
PURalpha[T05167],1,4,13,27,0.518623868
PURbeta[T05172],1,4,13,27,0.518623868
FOXM1b[T02516],1,4,13,27,0.518623868
FOXM1a[T02517],1,4,13,27,0.518623868
LyF-1[T00479],1,4,13,27,0.518623868
Kr[T00456],2,3,15,25,0.512773379
TSAP[T00855],2,3,15,25,0.512773379
AP-1[T00029],3,2,25,15,0.512773379
c-Fos[T00123],3,2,25,15,0.512773379
HNF-6alpha[T03257],3,2,25,15,0.512773379
AREB6[T00625],2,3,16,24,0.510494386
SF-1[T01147],2,3,16,24,0.510494386
Cdx-3[T02003],2,3,16,24,0.510494386
MEF-2C/delta8[T01769],4,1,36,4,0.499964985
Nkx2-1[T00857],4,1,36,4,0.499964985
STAT1beta[T01573],4,1,36,4,0.499964985
NF-X3[T01514],4,1,36,4,0.499964985
IPF1[T02058],1,4,4,36,0.499964985
Sp1[T01228],1,4,4,36,0.499964985
AhR[T00018],1,4,12,28,0.48870326
AhR[T01795],1,4,12,28,0.48870326
Yi[T00913],1,4,11,29,0.465255376
COUP-TF1[T00149],1,4,11,29,0.465255376
ER-alpha[T00264],1,4,11,29,0.465255376
GATA-1[T00267],4,1,35,5,0.462930542
GATA-1[T00305],4,1,35,5,0.462930542
AhR:Arnt[T05394],1,4,5,35,0.462930542
NF-Y[T00150],4,1,35,5,0.462930542
NF-Y[T00613],4,1,35,5,0.462930542
Sn[T00751],1,4,5,35,0.462930542
Pax-2.2[T03219],1,4,5,35,0.462930542
Pax-9a[T03593],1,4,5,35,0.462930542
Pax-9b[T03594],1,4,5,35,0.462930542
MAZ[T00490],1,4,5,35,0.462930542
Pbx1b[T02088],1,4,5,35,0.462930542
GATA-3[T00311],5,0,33,7,0.455150197
PU.1[T02068],5,0,33,7,0.455150197
SGF-3[T00746],5,0,33,7,0.455150197
CP2[T00152],5,0,33,7,0.455150197
COE2[T05006],0,5,7,33,0.455150197
COE3[T05008],0,5,7,33,0.455150197
RAR-gamma[T00720],4,1,30,10,0.4478394
mec-3[T01076],4,1,30,10,0.4478394
Pax-5[T00070],4,1,30,10,0.4478394
BTEB3[T05051],4,1,30,10,0.4478394
SF-1[T04014],4,1,30,10,0.4478394
NF-muNR[T01083],4,1,30,10,0.4478394
Pbx1a[T01481],1,4,10,30,0.4478394
HOXB1[T01719],1,4,10,30,0.4478394
RAR-beta:RXR-alpha[T05420],1,4,6,34,0.442145905
HES-1[T01649],4,1,34,6,0.442145905
AP-1[T01140],4,1,34,6,0.442145905
SRF[T00764],1,4,9,31,0.436323529
DEC2[T05845],4,1,31,9,0.436323529
Zen-1[T00917],4,1,31,9,0.436323529
Zen-2[T02099],4,1,31,9,0.436323529
Ttk69K[T00843],1,4,9,31,0.436323529
Sp1[T00754],1,4,9,31,0.436323529
Sp1[T00759],1,4,9,31,0.436323529
GR[T05076],1,4,9,31,0.436323529
CDX2[T03246],4,1,33,7,0.432392687
C/EBPgamma[T00216],4,1,33,7,0.432392687
FOXJ1[T02460],1,4,7,33,0.432392687
SRF(504AA)[T00765],1,4,8,32,0.430936819
NF-AT3[T02462],4,1,32,8,0.430936819
Crx[T03458],4,1,32,8,0.430936819
LF-A1[T00467],5,0,34,6,0.396797607
C/EBP[T01388],5,0,34,6,0.396797607
Oct-B1[T00545],5,0,34,6,0.396797607
POU2F2B[T00662],5,0,34,6,0.396797607
POU2F2B[T01871],5,0,34,6,0.396797607
POU5F1(Oct-5)[T00653],5,0,34,6,0.396797607
POU5F1[T00651],5,0,34,6,0.396797607
POU2F1b[T01862],5,0,34,6,0.396797607
POU2F1c[T01863],5,0,34,6,0.396797607
IPF1[T02057],5,0,34,6,0.396797607
SREBP-1c[T01562],5,0,34,6,0.396797607
Elk-1[T00250],5,0,34,6,0.396797607
LEF-1[T02905],5,0,34,6,0.396797607
TCF-4E[T02878],5,0,34,6,0.396797607
NF-1[T01298],5,0,34,6,0.396797607
POU2F1[T00641],5,0,34,6,0.396797607
POU2F2[T00647],5,0,34,6,0.396797607
POU2F2[T00648],5,0,34,6,0.396797607
POU2F2(Oct-2.1)[T01864],5,0,34,6,0.396797607
POU2F2(Oct-2.3)[T01865],5,0,34,6,0.396797607
POU2F2(Oct-2.4)[T01866],5,0,34,6,0.396797607
POU2F2(Oct-2.6)[T01867],5,0,34,6,0.396797607
POU2F2(Oct-2.1)[T01870],5,0,34,6,0.396797607
Mitf[T01554],0,5,6,34,0.396797607
E2F[T04056],0,5,6,34,0.396797607
EBF[T05427],0,5,6,34,0.396797607
NF-E2[T00557],0,5,6,34,0.396797607
YY1[T04970],5,0,35,5,0.347197906
POU2F1a[T00644],5,0,35,5,0.347197906
Pax-3[T00680],0,5,5,35,0.347197906
T3R-alpha[T00841],0,5,5,35,0.347197906
Fra-1[T01462],0,5,5,35,0.347197906
AML1[T01067],5,0,36,4,0.304856698
C/EBPgamma[T02028],5,0,36,4,0.304856698
ELF-1[T01113],0,5,4,36,0.304856698
Myf-5[T00521],0,5,4,36,0.304856698
NF-TNF[T00606],0,5,4,36,0.304856698
f(alpha)-f(epsilon)[T00287],5,0,37,3,0.268564234
USF-1[T00875],5,0,37,3,0.268564234
T3R-beta[T00852],5,0,37,3,0.268564234
c-Myb[T00137],5,0,37,3,0.268564234
AR[T00040],5,0,37,3,0.268564234
IRF-1[T00423],5,0,37,3,0.268564234
NF-AT1[T00550],5,0,37,3,0.268564234
Gt[T00328],5,0,37,3,0.268564234
VDR[T00885],5,0,37,3,0.268564234
NF-1[T00537],5,0,37,3,0.268564234
NF-1[T00539],5,0,37,3,0.268564234
ENKTF-1[T00255],5,0,37,3,0.268564234
c-Ets-2[T01397],5,0,37,3,0.268564234
NF-AT2[T01945],5,0,37,3,0.268564234
NF-AT1[T01948],5,0,37,3,0.268564234
NF-AT1[T01944],5,0,37,3,0.268564234
c-Jun[T00132],5,0,37,3,0.268564234
WT1I-KTS[T00900],5,0,37,3,0.268564234
WT1-KTS[T01839],5,0,37,3,0.268564234
POU4F1(l)[T01877],5,0,37,3,0.268564234
Nkx2-1[T00856],5,0,37,3,0.268564234
CREMtau[T01309],5,0,37,3,0.268564234
CREMtaualpha[T01602],5,0,37,3,0.268564234
CREMtau1[T02108],5,0,37,3,0.268564234
CREMtau2[T02109],5,0,37,3,0.268564234
myogenin[T00528],5,0,37,3,0.268564234
WT1I[T01840],5,0,37,3,0.268564234
E12[T00204],0,5,3,37,0.268564234
CACCC-bindingfactor[T00077],0,5,3,37,0.268564234
Pax-2.1[T03031],0,5,3,37,0.268564234
PPAR-alpha:RXR-alpha[T05221],0,5,3,37,0.268564234
IA-1[T05887],0,5,3,37,0.268564234
MTF-1[T00515],0,5,3,37,0.268564234
USF2[T02115],0,5,3,37,0.268564234
GR-beta[T01920],5,0,38,2,0.237335835
Mad[T04378],5,0,38,2,0.237335835
YY1[T00865],5,0,38,2,0.237335835
YY1[T00915],5,0,38,2,0.237335835
Pax-6[T00682],5,0,38,2,0.237335835
NHP-1[T00621],5,0,38,2,0.237335835
GR-alpha[T00337],5,0,38,2,0.237335835
C/EBPalpha[T00108],5,0,38,2,0.237335835
C/EBPbeta[T00459],5,0,38,2,0.237335835
Cutl1[T02042],5,0,38,2,0.237335835
HOXA5[T00377],5,0,38,2,0.237335835
POU1F1a[T00691],5,0,38,2,0.237335835
C/EBPdelta[T00109],5,0,38,2,0.237335835
unc-86[T01882],5,0,38,2,0.237335835
POU2F2(Oct-2.1)[T00646],5,0,38,2,0.237335835
C/EBPbeta[T00017],5,0,38,2,0.237335835
GR[T00333],5,0,38,2,0.237335835
c-Fos[T00124],5,0,38,2,0.237335835
XBP-1[T00902],5,0,38,2,0.237335835
Fra-1[T01208],5,0,38,2,0.237335835
Bfactor[T00061],5,0,38,2,0.237335835
C/EBPalpha[T00104],5,0,38,2,0.237335835
Nkx6-2[T02050],5,0,38,2,0.237335835
HNF-3[T02277],5,0,38,2,0.237335835
HNF-3alpha[T02512],5,0,38,2,0.237335835
GATA-2[T01302],5,0,38,2,0.237335835
HNF-1C[T01951],5,0,38,2,0.237335835
GATA-1[T00306],5,0,38,2,0.237335835
HOXD9[T01424],5,0,38,2,0.237335835
HOXD10[T01425],5,0,38,2,0.237335835
HOXD9[T01755],5,0,38,2,0.237335835
HOXD9[T01756],5,0,38,2,0.237335835
HOXD10[T01757],5,0,38,2,0.237335835
HOXD10[T01758],5,0,38,2,0.237335835
Eve[T00272],5,0,38,2,0.237335835
HNF-3beta[T02344],5,0,38,2,0.237335835
HNF-3beta[T02513],5,0,38,2,0.237335835
HNF-3alpha[T00371],5,0,38,2,0.237335835
Prd[T00699],5,0,38,2,0.237335835
HNF-3[T00370],5,0,38,2,0.237335835
POU2F1[T00643],5,0,38,2,0.237335835
DSXF[T00955],5,0,38,2,0.237335835
DSXM[T00956],5,0,38,2,0.237335835
FOXP3[T04280],5,0,38,2,0.237335835
TBP[T00794],5,0,38,2,0.237335835
TFIID[T00820],5,0,38,2,0.237335835
HOXD8[T01426],5,0,38,2,0.237335835
HOXD8[T01754],5,0,38,2,0.237335835
POU1F1b[T01516],5,0,38,2,0.237335835
POU1F1c[T01902],5,0,38,2,0.237335835
Pax-1[T00677],5,0,38,2,0.237335835
Pax-2a[T00678],5,0,38,2,0.237335835
MF3[T00507],5,0,38,2,0.237335835
Dfd[T00193],5,0,38,2,0.237335835
HNF-1A[T00368],5,0,38,2,0.237335835
HNF-1B[T01950],5,0,38,2,0.237335835
DBP[T04875],5,0,38,2,0.237335835
Crx[T03461],5,0,38,2,0.237335835
Ftz[T00295],5,0,38,2,0.237335835
RXR-alpha[T01345],5,0,38,2,0.237335835
NF-AT4[T01949],5,0,38,2,0.237335835
TGGCA-bindingprotein[T00832],5,0,38,2,0.237335835
C/EBPalpha[T00107],5,0,38,2,0.237335835
NFI/CTF[T00094],5,0,38,2,0.237335835
HNF-4alpha1[T00372],5,0,38,2,0.237335835
HSF1(long)[T01042],5,0,38,2,0.237335835
HSF1(short)[T02104],5,0,38,2,0.237335835
Tll[T00789],5,0,38,2,0.237335835
C/EBPalpha[T00105],5,0,38,2,0.237335835
C/EBPbeta[T00581],5,0,38,2,0.237335835
Dl[T00196],5,0,38,2,0.237335835
PEA3[T00684],5,0,38,2,0.237335835
STAT4[T01577],5,0,38,2,0.237335835
c-Ets-1[T00112],5,0,38,2,0.237335835
c-Ets-2[T00113],5,0,38,2,0.237335835
PRB[T00696],5,0,38,2,0.237335835
PRA[T01661],5,0,38,2,0.237335835
HNF-3beta[T01049],5,0,38,2,0.237335835
DBP[T00183],5,0,38,2,0.237335835
Nrf2:MafK[T05666],5,0,38,2,0.237335835
Hb[T00395],5,0,38,2,0.237335835
JunD[T00437],5,0,38,2,0.237335835
c-Jun[T00131],5,0,38,2,0.237335835
JunB[T00436],5,0,38,2,0.237335835
c-Fos[T00122],5,0,38,2,0.237335835
c-Jun[T00133],5,0,38,2,0.237335835
HOXA4[T00128],5,0,38,2,0.237335835
POU2F1[T01031],5,0,38,2,0.237335835
E2F[T00221],0,5,2,38,0.237335835
NF-X[T01232],0,5,2,38,0.237335835
Sry-beta[T00769],0,5,1,39,0.210365854
YY1[T00278],0,5,1,39,0.210365854
AP-2beta[T02469],0,5,1,39,0.210365854
Egr-1[T01200],0,5,1,39,0.210365854
Sp3[T02453],0,5,1,39,0.210365854
ETF[T00270],0,5,1,39,0.210365854
